epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.953,0,17.4223,0,0,0,0,0,0,46.3714,0,0.00018,0.00018,0.00018
2,27.4354,0,16.0618,0,0,0,0,0,0,47.0078,0,0.000364952,0.000364952,0.000364952
3,38.6482,0.19176,14.4855,0.03891,0,0,0,0,0,47.2137,0,0.000534064,0.000534064,0.000534064
4,49.8799,0.00121,12.8158,0.00017,0,0,0,0,0,41.4843,0,0.000687336,0.000687336,0.000687336
5,60.9555,0,11.6513,0,0,0,0,0,0,32.8047,0,0.000824768,0.000824768,0.000824768
6,71.9817,0,11.0279,0,0,0,0,0,0,30.2071,0,0.00094636,0.00094636,0.00094636
7,83.2335,0,10.3069,0,0,0,0,0,0,23.6363,0,0.00105211,0.00105211,0.00105211
8,94.7395,0,9.81537,0,0,0,0,0,0,20.5944,0,0.00114202,0.00114202,0.00114202
9,105.948,0,9.18557,0,0,0,0,0,0,18.2413,0,0.0012161,0.0012161,0.0012161
10,117.175,0,8.82936,0,0,0,0,0,0,18.0968,0,0.00127433,0.00127433,0.00127433
11,128.29,0,8.35313,0,0,0,0,0,0,20.0221,0,0.001208,0.001208,0.001208
12,139.225,0,7.97439,0,0,0,0,0,0,19.1174,0,0.0011288,0.0011288,0.0011288
13,150.43,0,7.6038,0,0,0,0,0,0,16.3012,0,0.0010496,0.0010496,0.0010496
14,161.515,0,7.28386,0,0,0,0,0,0,17.4353,0,0.0009704,0.0009704,0.0009704
15,172.655,0,6.97092,0,0,0,0,0,0,16.0885,0,0.0008912,0.0008912,0.0008912
16,184.115,0,6.6993,0,0,0,0,0,0,16.6307,0,0.000812,0.000812,0.000812
17,195.184,0,6.43938,0,0,0,0,0,0,17.0636,0,0.0007328,0.0007328,0.0007328
18,206.412,0,6.23212,0,0,0,0,0,0,16.5146,0,0.0006536,0.0006536,0.0006536
19,217.495,0.17179,6.31358,0.03289,0,0,0,0,0,15.8644,0,0.0005744,0.0005744,0.0005744
20,228.673,0,5.97992,0,0,0,0,0,0,15.7904,0,0.0004952,0.0004952,0.0004952
21,239.929,0,5.80049,0,0,0,0,0,0,15.5579,0,0.000416,0.000416,0.000416
22,251.104,0,5.66704,0,0,0,0,0,0,15.5007,0,0.0003368,0.0003368,0.0003368
23,262.319,0,5.5489,0,0,0,0,0,0,15.432,0,0.0002576,0.0002576,0.0002576
24,273.392,0,5.47444,0,0,0,0,0,0,15.0798,0,0.0001784,0.0001784,0.0001784
25,284.494,0,5.45826,0,0,0,0,0,0,14.8852,0,9.92e-05,9.92e-05,9.92e-05
